id,precision,recall,banglasummeval_f1
news-49141918,76.92307692307693,33.33333333333333,46.51162790697674
140427_pg_bd_heat_dhaka_ac,78.57142857142857,50.0,61.111111111111114
news-56080104,71.42857142857143,100.0,83.33333333333333
news-52808250,58.333333333333336,50.0,53.84615384615385
news-39844487,57.14285714285714,33.33333333333333,42.10526315789473
news-46205974,78.57142857142857,33.33333333333333,46.80851063829787
news-54230851,86.66666666666667,83.33333333333334,84.96732026143792
news-39127107,75.0,83.33333333333334,78.94736842105264
news-54239981,76.47058823529412,50.0,60.46511627906977
news-49047323,52.94117647058824,50.0,51.42857142857144
news-45155508,72.22222222222221,33.33333333333333,45.614035087719294
news-42949518,58.82352941176471,66.66666666666666,62.5
news-45408278,77.77777777777779,83.33333333333334,80.45977011494253
news-56880849,66.66666666666666,16.666666666666664,26.666666666666668
news-53549847,62.5,83.33333333333334,71.42857142857143
news-49144997,50.0,0.0,0.0
news-56878093,53.84615384615385,66.66666666666666,59.57446808510638
news-46679946,53.333333333333336,83.33333333333334,65.04065040650407
news-47301727,41.66666666666667,66.66666666666666,51.282051282051285
news-49709690,63.63636363636363,83.33333333333334,72.16494845360825
news-51083336,80.0,66.66666666666666,72.72727272727272
news-45932627,77.77777777777779,33.33333333333333,46.666666666666664
news-52668365,73.33333333333333,33.33333333333333,45.83333333333333
news-56546869,60.0,66.66666666666666,63.1578947368421
news-56728594,66.66666666666666,66.66666666666666,66.66666666666666
news-46002945,73.33333333333333,50.0,59.45945945945946
news-48499557,73.33333333333333,83.33333333333334,78.01418439716312
news-48081272,45.45454545454545,0.0,0.0
news-42139703,60.0,50.0,54.54545454545455
news-40377323,60.86956521739131,83.33333333333334,70.35175879396985
news-55754177,63.63636363636363,16.666666666666664,26.41509433962264
news-48151325,57.89473684210527,66.66666666666666,61.971830985915496
news-48742054,42.857142857142854,50.0,46.153846153846146
news-48488145,63.63636363636363,66.66666666666666,65.11627906976744
news-49173643,75.0,50.0,60.0
news-48290970,68.42105263157895,66.66666666666666,67.53246753246754
news-52220120,75.0,66.66666666666666,70.58823529411764
news-46175088,78.57142857142857,83.33333333333334,80.88235294117648
news-52345995,73.68421052631578,83.33333333333334,78.2122905027933
news-50441857,54.54545454545454,50.0,52.173913043478265
news-56602385,60.0,83.33333333333334,69.76744186046513
news-55075456,81.81818181818183,50.0,62.06896551724139
news-55806686,60.0,33.33333333333333,42.857142857142854
news-55427149,45.0,33.33333333333333,38.29787234042553
news-56766795,83.33333333333334,50.0,62.5
news-50280907,73.33333333333333,83.33333333333334,78.01418439716312
news-54898675,53.84615384615385,33.33333333333333,41.17647058823529
news-51381825,70.0,50.0,58.333333333333336
news-41902828,70.83333333333334,50.0,58.62068965517241
news-51629780,61.904761904761905,83.33333333333334,71.03825136612022
news-48872060,75.0,33.33333333333333,46.153846153846146
news-49362977,75.0,100.0,85.71428571428571
news-44246998,50.0,16.666666666666664,25.0
news-45332030,61.53846153846154,66.66666666666666,64.0
news-51217515,61.53846153846154,83.33333333333334,70.79646017699115
news-42326655,64.28571428571429,83.33333333333334,72.58064516129033
news-46972950,41.17647058823529,33.33333333333333,36.84210526315789
news-48835708,75.0,83.33333333333334,78.94736842105264
news-46578414,58.333333333333336,83.33333333333334,68.62745098039217
news-48303883,36.36363636363637,83.33333333333334,50.63291139240506
news-50798626,81.25,50.0,61.904761904761905
news-46874688,57.14285714285714,50.0,53.33333333333333
news-40652345,64.28571428571429,16.666666666666664,26.470588235294112
news-55242258,65.0,50.0,56.52173913043478
news-45011087,33.33333333333333,83.33333333333334,47.61904761904762
news-54159266,66.66666666666666,50.0,57.14285714285714
news-38298663,63.63636363636363,50.0,56.0
news-53929704,66.66666666666666,83.33333333333334,74.07407407407408
news-47885378,63.1578947368421,66.66666666666666,64.86486486486486
news-44220246,92.3076923076923,33.33333333333333,48.979591836734684
140925_mk_islamic_scholar_is_isis_isil_open_letter,60.0,50.0,54.54545454545455
news-45083152,85.0,50.0,62.96296296296296
