id,precision,recall,banglasummeval_f1
news-45155508,70.58823529411765,50.0,58.53658536585366
news-39127107,72.0,0.0,0.0
news-49141918,47.05882352941176,33.33333333333333,39.02439024390244
news-52808250,90.0,50.0,64.28571428571429
news-49047323,72.22222222222221,0.0,0.0
news-39844487,62.5,16.666666666666664,26.31578947368421
news-45408278,76.19047619047619,66.66666666666666,71.11111111111111
news-54230851,73.33333333333333,83.33333333333334,78.01418439716312
news-46205974,57.89473684210527,66.66666666666666,61.971830985915496
news-53549847,83.33333333333334,83.33333333333334,83.33333333333334
140427_pg_bd_heat_dhaka_ac,64.28571428571429,50.0,56.25000000000001
news-56880849,76.92307692307693,50.0,60.60606060606061
news-42949518,76.19047619047619,0.0,0.0
news-56080104,61.53846153846154,83.33333333333334,70.79646017699115
news-54239981,66.66666666666666,66.66666666666666,66.66666666666666
news-49144997,55.00000000000001,33.33333333333333,41.50943396226415
