id,precision,recall,summeval_f1
uk-england-cambridgeshire-13640487,66.66666666666666,66.66666666666666,66.66666666666666
uk-politics-30142579,62.5,33.33333333333333,43.47826086956521
world-europe-53801230,42.857142857142854,50.0,46.153846153846146
uk-wales-politics-48586353,70.0,83.33333333333334,76.08695652173914
world-us-canada-38697908,50.0,33.33333333333333,40.0
uk-scotland-north-east-orkney-shetland-55564441,60.0,50.0,54.54545454545455
uk-england-south-yorkshire-55768636,71.42857142857143,66.66666666666666,68.96551724137932
uk-england-norfolk-40306087,61.53846153846154,50.0,55.172413793103445
business-47891982,58.333333333333336,66.66666666666666,62.22222222222222
science-environment-44141840,77.77777777777779,50.0,60.869565217391305
entertainment-arts-26706229,75.0,83.33333333333334,78.94736842105264
business-38842721,88.88888888888889,50.0,64.0
uk-politics-36836980,53.84615384615385,16.666666666666664,25.454545454545453
uk-politics-12657524,50.0,33.33333333333333,40.0
education-56213402,73.33333333333333,66.66666666666666,69.84126984126982
business-42226808,66.66666666666666,83.33333333333334,74.07407407407408
business-40666236,76.92307692307693,83.33333333333334,80.00000000000001
business-22689987,87.5,50.0,63.63636363636363
technology-19700791,55.55555555555556,100.0,71.42857142857143
technology-54360612,68.75,66.66666666666666,67.6923076923077
uk-scotland-scotland-politics-41036484,61.53846153846154,66.66666666666666,64.0
technology-51510196,76.92307692307693,66.66666666666666,71.42857142857143
uk-wales-33793177,90.9090909090909,83.33333333333334,86.95652173913044
uk-politics-20775071,50.0,100.0,66.66666666666667
world-latin-america-47658080,54.54545454545454,83.33333333333334,65.93406593406593
uk-england-leeds-54470312,80.0,66.66666666666666,72.72727272727272
world-asia-31001251,81.81818181818183,66.66666666666666,73.46938775510203
uk-england-birmingham-47374127,38.46153846153847,33.33333333333333,35.714285714285715
uk-england-hereford-worcester-51539199,80.0,100.0,88.88888888888889
world-middle-east-18571193,71.42857142857143,33.33333333333333,45.45454545454545
technology-30795245,90.9090909090909,100.0,95.23809523809523
world-europe-isle-of-man-56422262,46.15384615384615,50.0,47.99999999999999
newsbeat-11997559,30.76923076923077,50.0,38.095238095238095
business-31949307,90.0,66.66666666666666,76.59574468085106
entertainment-arts-11956797,61.53846153846154,66.66666666666666,64.0
world-africa-39842686,53.84615384615385,50.0,51.851851851851855
uk-england-london-46741638,41.17647058823529,50.0,45.16129032258064
uk-england-tees-17350377,55.55555555555556,33.33333333333333,41.666666666666664
uk-england-oxfordshire-20503005,35.0,33.33333333333333,34.14634146341463
10157432,76.47058823529412,50.0,60.46511627906977
world-europe-43649668,81.81818181818183,83.33333333333334,82.56880733944955
uk-england-wiltshire-54161565,38.46153846153847,50.0,43.47826086956522
uk-england-leicestershire-51356195,50.0,66.66666666666666,57.14285714285714
uk-scotland-scotland-politics-40855469,66.66666666666666,83.33333333333334,74.07407407407408
uk-wales-south-west-wales-25024708,63.63636363636363,33.33333333333333,43.74999999999999
uk-scotland-scotland-politics-46541974,62.5,33.33333333333333,43.47826086956521
business-18074966,70.0,83.33333333333334,76.08695652173914
uk-20509003,88.23529411764706,66.66666666666666,75.94936708860759
world-middle-east-24834204,52.38095238095239,83.33333333333334,64.32748538011697
uk-northern-ireland-40941393,93.33333333333333,50.0,65.11627906976744
entertainment-arts-49419053,77.77777777777779,50.0,60.869565217391305
uk-26341122,75.0,66.66666666666666,70.58823529411764
newsbeat-42729308,66.66666666666666,33.33333333333333,44.44444444444444
science-environment-48786295,76.92307692307693,83.33333333333334,80.00000000000001
entertainment-arts-44964740,68.75,50.0,57.89473684210526
blogs-news-from-elsewhere-51090657,55.55555555555556,50.0,52.63157894736842
technology-30819036,80.0,66.66666666666666,72.72727272727272
world-latin-america-50664018,62.5,16.666666666666664,26.31578947368421
uk-scotland-south-scotland-42521987,88.88888888888889,50.0,64.0
business-35240093,80.95238095238095,83.33333333333334,82.12560386473432
world-latin-america-34504269,41.17647058823529,50.0,45.16129032258064
uk-england-suffolk-46071589,50.0,66.66666666666666,57.14285714285714
uk-england-bristol-44226204,60.0,33.33333333333333,42.857142857142854
uk-england-stoke-staffordshire-25680638,63.63636363636363,83.33333333333334,72.16494845360825
uk-20947917,55.55555555555556,83.33333333333334,66.66666666666667
business-45506500,83.33333333333334,83.33333333333334,83.33333333333334
uk-northern-ireland-11997538,46.15384615384615,83.33333333333334,59.40594059405941
blogs-news-from-elsewhere-34313610,62.5,33.33333333333333,43.47826086956521
uk-scotland-north-east-orkney-shetland-39254354,80.0,50.0,61.53846153846154
business-39841164,76.92307692307693,50.0,60.60606060606061
world-us-canada-56273381,70.0,66.66666666666666,68.29268292682926
uk-wales-south-east-wales-11521339,40.0,33.33333333333333,36.36363636363636
world-europe-38005202,26.666666666666668,66.66666666666666,38.095238095238095
47967764,41.66666666666667,50.0,45.45454545454545
world-latin-america-24014501,87.5,33.33333333333333,48.27586206896551
world-europe-23003013,85.71428571428571,66.66666666666666,75.0
uk-wales-north-east-wales-36173481,75.0,50.0,60.0
uk-36492850,80.0,66.66666666666666,72.72727272727272
world-latin-america-33449810,64.28571428571429,50.0,56.25000000000001
newsbeat-10002718,53.333333333333336,100.0,69.56521739130436
