id,precision,recall,summeval_f1
business-47891982,62.5,66.66666666666666,64.51612903225806
uk-scotland-north-east-orkney-shetland-55564441,72.72727272727273,66.66666666666666,69.56521739130434
uk-wales-politics-48586353,90.9090909090909,50.0,64.51612903225806
world-europe-53801230,60.0,66.66666666666666,63.1578947368421
uk-politics-30142579,60.0,16.666666666666664,26.08695652173913
uk-england-norfolk-40306087,75.0,50.0,60.0
world-us-canada-38697908,58.333333333333336,50.0,53.84615384615385
uk-england-cambridgeshire-13640487,81.81818181818183,83.33333333333334,82.56880733944955
uk-england-south-yorkshire-55768636,83.33333333333334,50.0,62.5
education-56213402,77.77777777777779,16.666666666666664,27.450980392156858
uk-politics-36836980,62.5,33.33333333333333,43.47826086956521
entertainment-arts-26706229,58.333333333333336,83.33333333333334,68.62745098039217
business-38842721,80.0,66.66666666666666,72.72727272727272
technology-19700791,100.0,83.33333333333334,90.9090909090909
uk-politics-12657524,66.66666666666666,50.0,57.14285714285714
business-40666236,85.71428571428571,83.33333333333334,84.50704225352113
business-42226808,81.81818181818183,66.66666666666666,73.46938775510203
business-22689987,85.71428571428571,33.33333333333333,47.99999999999999
science-environment-44141840,72.72727272727273,50.0,59.25925925925926
uk-scotland-scotland-politics-41036484,77.77777777777779,66.66666666666666,71.7948717948718
technology-54360612,84.61538461538461,50.0,62.857142857142854
technology-51510196,81.81818181818183,50.0,62.06896551724139
uk-politics-20775071,87.5,83.33333333333334,85.3658536585366
uk-wales-33793177,83.33333333333334,100.0,90.9090909090909
uk-england-leeds-54470312,77.77777777777779,50.0,60.869565217391305
uk-england-birmingham-47374127,58.333333333333336,50.0,53.84615384615385
world-asia-31001251,50.0,100.0,66.66666666666667
world-middle-east-18571193,77.77777777777779,16.666666666666664,27.450980392156858
world-latin-america-47658080,80.0,66.66666666666666,72.72727272727272
uk-england-hereford-worcester-51539199,90.0,83.33333333333334,86.53846153846155
world-europe-isle-of-man-56422262,64.28571428571429,50.0,56.25000000000001
technology-30795245,86.66666666666667,100.0,92.85714285714286
newsbeat-11997559,50.0,83.33333333333334,62.5
uk-england-oxfordshire-20503005,78.94736842105263,66.66666666666666,72.28915662650603
business-31949307,53.333333333333336,66.66666666666666,59.25925925925925
uk-england-tees-17350377,70.0,50.0,58.333333333333336
uk-england-london-46741638,55.00000000000001,50.0,52.38095238095239
entertainment-arts-11956797,57.14285714285714,83.33333333333334,67.79661016949153
world-africa-39842686,78.94736842105263,50.0,61.224489795918366
world-europe-43649668,80.0,83.33333333333334,81.6326530612245
10157432,80.0,83.33333333333334,81.6326530612245
world-middle-east-24834204,63.63636363636363,83.33333333333334,72.16494845360825
uk-england-wiltshire-54161565,63.1578947368421,83.33333333333334,71.8562874251497
uk-20509003,60.0,66.66666666666666,63.1578947368421
uk-england-leicestershire-51356195,87.5,50.0,63.63636363636363
uk-wales-south-west-wales-25024708,77.77777777777779,50.0,60.869565217391305
uk-scotland-scotland-politics-46541974,61.53846153846154,33.33333333333333,43.24324324324325
uk-scotland-scotland-politics-40855469,68.42105263157895,66.66666666666666,67.53246753246754
uk-26341122,77.77777777777779,50.0,60.869565217391305
business-18074966,84.61538461538461,66.66666666666666,74.57627118644066
entertainment-arts-44964740,80.0,66.66666666666666,72.72727272727272
entertainment-arts-49419053,75.0,33.33333333333333,46.153846153846146
newsbeat-42729308,60.0,50.0,54.54545454545455
science-environment-48786295,50.0,66.66666666666666,57.14285714285714
uk-northern-ireland-40941393,61.904761904761905,50.0,55.31914893617022
technology-30819036,64.70588235294117,66.66666666666666,65.67164179104476
blogs-news-from-elsewhere-51090657,63.63636363636363,33.33333333333333,43.74999999999999
business-35240093,76.47058823529412,83.33333333333334,79.75460122699387
world-latin-america-50664018,50.0,16.666666666666664,25.0
uk-scotland-south-scotland-42521987,100.0,66.66666666666666,80.0
uk-england-suffolk-46071589,57.14285714285714,33.33333333333333,42.10526315789473
world-latin-america-34504269,45.0,33.33333333333333,38.29787234042553
uk-england-stoke-staffordshire-25680638,47.05882352941176,50.0,48.48484848484848
business-45506500,72.72727272727273,100.0,84.21052631578947
uk-england-bristol-44226204,66.66666666666666,100.0,80.0
uk-20947917,58.333333333333336,66.66666666666666,62.22222222222222
